GAME_ID,DATE,PLAY_SEASON,HOME_TEAM,VISIT_TEAM,HOME_TEAM_SCORE,VISIT_TEAM_SCORE
311228001,"Dec 28, 2011",2011/2012,Atlanta Hawks,Washington,101,83
311230001,"Dec 30, 2011",2011/2012,Atlanta Hawks,Brooklyn,105,98
320105001,"Jan 5, 2012",2011/2012,Atlanta Hawks,Miami,116,1093
320107001,"Jan 7, 2012",2011/2012,Atlanta Hawks,Chicago,109,94
320112001,"Jan 12, 2012",2011/2012,Atlanta Hawks,Charlotte,111,81
320114001,"Jan 14, 2012",2011/2012,Atlanta Hawks,Minnesota,93,91
320116001,"Jan 16, 2012",2011/2012,Atlanta Hawks,Toronto,93,84
320118001,"Jan 18, 2012",2011/2012,Atlanta Hawks,Portland,92,89
320121001,"Jan 21, 2012",2011/2012,Atlanta Hawks,Cleveland,121,94
320202001,"Feb 2, 2012",2011/2012,Atlanta Hawks,Memphis,77,96
320204001,"Feb 4, 2012",2011/2012,Atlanta Hawks,Philadelphia,87,98
320206001,"Feb 6, 2012",2011/2012,Atlanta Hawks,Phoenix,90,99
320208001,"Feb 8, 2012",2011/2012,Atlanta Hawks,Indiana,97,87
320212001,"Feb 12, 2012",2011/2012,Atlanta Hawks,Miami,87,107
320223001,"Feb 23, 2012",2011/2012,Atlanta Hawks,Orlando,83,78
320229001,"Feb 29, 2012",2011/2012,Atlanta Hawks,Golden State,82,85
320302001,"Mar 2, 2012",2011/2012,Atlanta Hawks,Milwaukee,99,94
320303001,"Mar 3, 2012",2011/2012,Atlanta Hawks,Oklahoma City,97,90
320316001,"Mar 16, 2012",2011/2012,Atlanta Hawks,Washington,102,88
320319001,"Mar 19, 2012",2011/2012,Atlanta Hawks,Boston,76,79
320321001,"Mar 21, 2012",2011/2012,Atlanta Hawks,Cleveland,103,102
320323001,"Mar 23, 2012",2011/2012,Atlanta Hawks,Brooklyn,93,84
320325001,"Mar 25, 2012",2011/2012,Atlanta Hawks,Utah,1334,139
320328001,"Mar 28, 2012",2011/2012,Atlanta Hawks,Chicago,77,98
320330001,"Mar 30, 2012",2011/2012,Atlanta Hawks,NY Knicks,100,90
320404001,"Apr 4, 2012",2011/2012,Atlanta Hawks,Charlotte,120,93
320406001,"Apr 6, 2012",2011/2012,Atlanta Hawks,Detroit,101,96
320415001,"Apr 15, 2012",2011/2012,Atlanta Hawks,Toronto,86,102
