NAME,ID,TEAM,PLAY_SEASON,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
Joe Johnson,1007,atlanta-hawks,2011/2012,6,6,40.5,17.2,1.0,2.5,3.5,3.5,1.33,0.17,2.7,1.8,1.3
Josh Smith,2411,atlanta-hawks,2011/2012,5,5,39.2,16.8,2.0,11.6,13.6,4.8,0.60,1.00,3.0,2.8,1.6
Al Horford,3213,atlanta-hawks,2011/2012,3,2,36.0,15.3,1.7,6.7,8.3,2.7,1.33,1.33,4.0,3.7,0.7
Jeff Teague,4015,atlanta-hawks,2011/2012,6,6,37.5,14.0,0.7,3.0,3.7,4.2,0.83,0.83,1.7,3.0,2.5
Marvin Williams,2797,atlanta-hawks,2011/2012,6,3,24.2,7.8,0.8,4.7,5.5,0.8,0.50,0.33,0.5,1.5,1.7
Kirk Hinrich,1981,atlanta-hawks,2011/2012,6,4,23.5,5.7,0.7,1.3,2.0,1.0,0.67,0.00,0.3,1.5,3.0
Tracy McGrady,532,atlanta-hawks,2011/2012,6,0,15.0,4.2,1.0,1.8,2.8,1.0,0.00,0.33,1.7,0.7,0.6
Erick Dampier,181,atlanta-hawks,2011/2012,4,0,13.8,4.0,1.8,1.8,3.5,0.0,0.00,0.25,0.8,1.5,0.0
Jannero Pargo,1821,atlanta-hawks,2011/2012,5,0,9.2,3.2,0.2,0.8,1.0,1.2,0.40,0.00,0.6,1.0,2.0
Willie Green,2004,atlanta-hawks,2011/2012,5,0,12.6,2.6,0.2,1.4,1.6,0.6,0.00,0.00,0.4,1.2,1.5
Ivan Johnson,6534,atlanta-hawks,2011/2012,5,0,10.8,2.6,1.4,2.0,3.4,0.0,0.60,0.00,0.6,1.4,0.0
Jason Collins,987,atlanta-hawks,2011/2012,5,4,17.0,2.4,0.8,1.6,2.4,0.0,0.20,0.00,2.0,3.2,0.0
Vladimir Radmanovic,1016,atlanta-hawks,2011/2012,2,0,7.5,0.0,0.0,0.5,0.5,0.5,0.00,0.00,0.0,1.5,0.0
Josh Smith,2411,atlanta-hawks,2012/2013,6,6,33.2,17.0,1.7,5.8,7.5,3.5,1.83,0.50,2.7,3.5,1.3
Al Horford,3213,atlanta-hawks,2012/2013,6,6,36.3,16.7,2.0,6.8,8.8,3.0,1.00,0.83,1.5,2.8,2.0
Jeff Teague,4015,atlanta-hawks,2012/2013,6,6,35.5,13.3,0.5,2.3,2.8,5.0,1.50,0.33,2.3,2.8,2.1
Devin Harris,2382,atlanta-hawks,2012/2013,6,6,37.5,11.3,0.3,2.5,2.8,3.7,1.67,0.17,2.0,3.0,1.8
Kyle Korver,2011,atlanta-hawks,2012/2013,6,2,29.5,10.2,0.0,3.3,3.3,0.7,0.33,0.67,1.0,2.3,0.7
Ivan Johnson,6534,atlanta-hawks,2012/2013,6,0,18.0,6.0,1.5,1.8,3.3,0.5,0.67,0.50,1.0,3.8,0.5
Johan Petro,2780,atlanta-hawks,2012/2013,6,4,16.8,4.8,0.7,3.0,3.7,0.7,0.17,0.67,0.5,3.0,1.3
Anthony Tolliver,3276,atlanta-hawks,2012/2013,6,0,11.3,4.0,0.5,1.0,1.5,0.2,0.17,0.17,0.2,1.2,1.0
Mike Scott,6622,atlanta-hawks,2012/2013,4,0,5.0,3.3,0.3,1.5,1.8,0.3,0.00,0.00,0.0,0.5,0.0
Shelvin Mack,6454,atlanta-hawks,2012/2013,4,0,5.5,2.5,0.8,1.0,1.8,1.8,0.00,0.00,0.0,0.0,0.0
DeShawn Stevenson,808,atlanta-hawks,2012/2013,4,0,11.3,2.3,0.8,1.8,2.5,0.3,0.00,0.00,0.5,1.3,0.5
Dahntay Jones,2008,atlanta-hawks,2012/2013,5,0,3.8,0.8,0.0,0.2,0.2,0.0,0.00,0.00,0.2,0.2,0.0
John Jenkins,6594,atlanta-hawks,2012/2013,4,0,6.0,0.0,0.0,0.5,0.5,0.8,0.00,0.00,0.5,0.5,1.5
Paul Millsap,3015,atlanta-hawks,2013/2014,7,7,38.1,19.4,3.0,7.9,10.9,2.9,1.43,1.86,2.9,3.6,1.0
Jeff Teague,4015,atlanta-hawks,2013/2014,7,7,34.6,19.3,0.7,3.0,3.7,5.0,1.00,0.57,3.0,2.1,1.7
Kyle Korver,2011,atlanta-hawks,2013/2014,7,7,35.7,13.4,0.3,5.0,5.3,0.7,0.57,0.29,1.6,2.1,0.5
Mike Scott,6622,atlanta-hawks,2013/2014,7,0,20.9,9.4,0.4,2.1,2.6,0.4,0.14,0.00,0.3,1.6,1.5
DeMarre Carroll,3970,atlanta-hawks,2013/2014,7,7,35.1,8.9,1.7,3.1,4.9,1.6,0.71,0.43,1.1,3.0,1.4
Louis Williams,2799,atlanta-hawks,2013/2014,7,0,19.0,8.3,0.0,2.3,2.3,1.1,1.00,0.14,1.9,1.4,0.6
Shelvin Mack,6454,atlanta-hawks,2013/2014,7,0,16.9,8.1,0.4,1.4,1.9,3.6,0.57,0.00,0.9,1.4,4.2
Pero Antic,2585616,atlanta-hawks,2013/2014,7,7,24.3,3.1,1.4,2.4,3.9,0.7,0.71,0.43,1.1,3.7,0.6
Dennis Schroder,3032979,atlanta-hawks,2013/2014,2,0,3.5,2.5,0.0,1.0,1.0,0.0,0.00,0.00,0.0,0.5,0.0
Cartier Martin,3930,atlanta-hawks,2013/2014,3,0,5.0,1.3,0.3,0.7,1.0,0.0,0.67,0.00,0.3,0.7,0.0
Elton Brand,91,atlanta-hawks,2013/2014,7,0,11.6,1.1,1.0,2.3,3.3,0.9,0.14,0.86,0.0,1.4,0.0
Mike Muscala,2490089,atlanta-hawks,2013/2014,2,0,2.5,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0
Jeff Teague,4015,atlanta-hawks,2014/2015,16,16,33.1,16.8,0.6,2.6,3.2,6.7,1.50,0.44,2.7,2.1,2.5
Paul Millsap,3015,atlanta-hawks,2014/2015,16,15,35.4,15.2,2.3,6.4,8.7,3.4,1.56,0.88,2.1,3.3,1.6
DeMarre Carroll,3970,atlanta-hawks,2014/2015,16,16,34.9,14.6,1.6,4.4,6.1,2.0,1.13,0.31,0.9,2.3,2.1
Al Horford,3213,atlanta-hawks,2014/2015,16,16,32.6,14.4,2.5,6.1,8.6,3.7,0.81,1.44,1.6,2.1,2.4
Kyle Korver,2011,atlanta-hawks,2014/2015,14,14,37.6,11.1,0.1,4.9,5.0,2.4,1.43,1.07,1.5,1.9,1.6
Dennis Schroder,3032979,atlanta-hawks,2014/2015,16,0,18.1,9.0,0.3,1.5,1.8,3.9,0.56,0.00,1.7,1.8,2.3
Kent Bazemore,6637,atlanta-hawks,2014/2015,16,2,18.9,5.4,0.2,3.1,3.3,0.8,0.69,0.56,0.7,1.6,1.2
Mike Scott,6622,atlanta-hawks,2014/2015,11,0,15.6,4.5,1.5,2.7,4.2,0.5,0.45,0.00,0.6,1.5,0.7
